Apr. 6, 2014   16:19:52
Cyclic Voltammetry
File: z:\research\electrochemistry\04-06-2014\02qcm\02cv 1.1v to -0.65v ptqcm in 4.5g kno3.txt
Data Source:  Experiment
Instrument Model:  CHI760D
Header: 
Note: 

Init E (V) = 0.353
High E (V) = 1.1
Low E (V) = -0.65
Init P/N = P
Scan Rate (V/s) = 0.05
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4
Comp R (ohm) = 24.2

Potential/V, Current/A, Charge/C, Time/s

Segment 1:
0.353, -8.092e-8, -1.618e-9, 2.000e-2
0.354, -1.961e-7, -5.540e-9, 4.000e-2
0.355, -2.235e-7, -1.001e-8, 6.000e-2
0.356, -2.493e-7, -1.500e-8, 8.000e-2
0.357, -2.614e-7, -2.022e-8, 1.000e-1
0.358, -2.544e-7, -2.531e-8, 1.200e-1
0.359, -2.806e-7, -3.092e-8, 1.400e-1
0.360, -3.057e-7, -3.704e-8, 1.600e-1
0.361, -3.165e-7, -4.337e-8, 1.800e-1
0.362, -3.160e-7, -4.969e-8, 2.000e-1
0.363, -3.185e-7, -5.606e-8, 2.200e-1
0.364, -3.315e-7, -6.269e-8, 2.400e-1
0.365, -3.506e-7, -6.970e-8, 2.600e-1
0.366, -3.677e-7, -7.705e-8, 2.800e-1
0.367, -3.584e-7, -8.422e-8, 3.000e-1
0.368, -3.470e-7, -9.116e-8, 3.200e-1
0.369, -3.825e-7, -9.881e-8, 3.400e-1
0.370, -3.858e-7, -1.065e-7, 3.600e-1
0.371, -3.923e-7, -1.144e-7, 3.800e-1
0.372, -3.863e-7, -1.221e-7, 4.000e-1
0.373, -3.911e-7, -1.299e-7, 4.200e-1
0.374, -4.074e-7, -1.381e-7, 4.400e-1
0.375, -4.149e-7, -1.464e-7, 4.600e-1
0.376, -4.255e-7, -1.549e-7, 4.800e-1
0.377, -4.215e-7, -1.633e-7, 5.000e-1
0.378, -4.143e-7, -1.716e-7, 5.200e-1
0.379, -4.369e-7, -1.803e-7, 5.400e-1
0.380, -4.359e-7, -1.890e-7, 5.600e-1
0.381, -4.470e-7, -1.980e-7, 5.800e-1
0.382, -4.532e-7, -2.071e-7, 6.000e-1
0.383, -4.388e-7, -2.158e-7, 6.200e-1
0.384, -4.646e-7, -2.251e-7, 6.400e-1
0.385, -4.655e-7, -2.344e-7, 6.600e-1
0.386, -4.762e-7, -2.440e-7, 6.800e-1
0.387, -4.657e-7, -2.533e-7, 7.000e-1
0.388, -4.558e-7, -2.624e-7, 7.200e-1
0.389, -4.743e-7, -2.719e-7, 7.400e-1
0.390, -4.817e-7, -2.815e-7, 7.600e-1
0.391, -4.856e-7, -2.912e-7, 7.800e-1
0.392, -4.875e-7, -3.010e-7, 8.000e-1
0.393, -4.692e-7, -3.104e-7, 8.200e-1
0.394, -4.937e-7, -3.202e-7, 8.400e-1
0.395, -5.096e-7, -3.304e-7, 8.600e-1
0.396, -4.970e-7, -3.404e-7, 8.800e-1
0.397, -4.948e-7, -3.503e-7, 9.000e-1
0.398, -4.989e-7, -3.602e-7, 9.200e-1
0.399, -5.064e-7, -3.704e-7, 9.400e-1
0.400, -5.107e-7, -3.806e-7, 9.600e-1
0.401, -5.187e-7, -3.909e-7, 9.800e-1
0.402, -5.193e-7, -4.013e-7, 1.000e+0
0.403, -5.064e-7, -4.115e-7, 1.020e+0
0.404, -5.138e-7, -4.217e-7, 1.040e+0
0.405, -5.245e-7, -4.322e-7, 1.060e+0
0.406, -5.310e-7, -4.428e-7, 1.080e+0
0.407, -5.269e-7, -4.534e-7, 1.100e+0
0.408, -5.171e-7, -4.637e-7, 1.120e+0
0.409, -4.954e-7, -4.736e-7, 1.140e+0
0.410, -5.353e-7, -4.843e-7, 1.160e+0
0.411, -5.454e-7, -4.952e-7, 1.180e+0
0.412, -5.273e-7, -5.058e-7, 1.200e+0
0.413, -5.198e-7, -5.162e-7, 1.220e+0
0.414, -5.489e-7, -5.272e-7, 1.240e+0
0.415, -5.504e-7, -5.382e-7, 1.260e+0
0.416, -5.497e-7, -5.492e-7, 1.280e+0
0.417, -5.477e-7, -5.601e-7, 1.300e+0
0.418, -5.379e-7, -5.709e-7, 1.320e+0
0.419, -5.537e-7, -5.820e-7, 1.340e+0
0.420, -5.541e-7, -5.930e-7, 1.360e+0
0.421, -5.640e-7, -6.043e-7, 1.380e+0
0.422, -5.535e-7, -6.154e-7, 1.400e+0
0.423, -5.507e-7, -6.264e-7, 1.420e+0
0.424, -5.701e-7, -6.378e-7, 1.440e+0
0.425, -5.671e-7, -6.491e-7, 1.460e+0
0.426, -5.726e-7, -6.606e-7, 1.480e+0
0.427, -5.773e-7, -6.721e-7, 1.500e+0
0.428, -5.566e-7, -6.833e-7, 1.520e+0
0.429, -5.695e-7, -6.947e-7, 1.540e+0
0.430, -5.750e-7, -7.062e-7, 1.560e+0
0.431, -5.822e-7, -7.178e-7, 1.580e+0
0.432, -5.763e-7, -7.293e-7, 1.600e+0
0.433, -5.642e-7, -7.406e-7, 1.620e+0
0.434, -5.706e-7, -7.520e-7, 1.640e+0
0.435, -5.900e-7, -7.638e-7, 1.660e+0
0.436, -5.890e-7, -7.756e-7, 1.680e+0
0.437, -5.797e-7, -7.872e-7, 1.700e+0
0.438, -5.617e-7, -7.984e-7, 1.720e+0
0.439, -5.811e-7, -8.101e-7, 1.740e+0
0.440, -5.913e-7, -8.219e-7, 1.760e+0
0.441, -5.858e-7, -8.336e-7, 1.780e+0
0.442, -5.819e-7, -8.452e-7, 1.800e+0
0.443, -5.825e-7, -8.569e-7, 1.820e+0
0.444, -5.908e-7, -8.687e-7, 1.840e+0
0.445, -5.875e-7, -8.805e-7, 1.860e+0
0.446, -6.018e-7, -8.925e-7, 1.880e+0
0.447, -5.952e-7, -9.044e-7, 1.900e+0
0.448, -5.835e-7, -9.161e-7, 1.920e+0
0.449, -6.015e-7, -9.281e-7, 1.940e+0
0.450, -6.001e-7, -9.401e-7, 1.960e+0
0.451, -6.083e-7, -9.523e-7, 1.980e+0
0.452, -6.080e-7, -9.644e-7, 2.000e+0
0.453, -5.917e-7, -9.763e-7, 2.020e+0
0.454, -6.083e-7, -9.884e-7, 2.040e+0
0.455, -6.107e-7, -1.001e-6, 2.060e+0
0.456, -6.207e-7, -1.013e-6, 2.080e+0
0.457, -6.120e-7, -1.025e-6, 2.100e+0
0.458, -6.037e-7, -1.037e-6, 2.120e+0
0.459, -6.226e-7, -1.050e-6, 2.140e+0
0.460, -6.239e-7, -1.062e-6, 2.160e+0
0.461, -6.260e-7, -1.075e-6, 2.180e+0
0.462, -6.304e-7, -1.087e-6, 2.200e+0
0.463, -6.218e-7, -1.100e-6, 2.220e+0
0.464, -6.298e-7, -1.112e-6, 2.240e+0
0.465, -6.339e-7, -1.125e-6, 2.260e+0
0.466, -6.299e-7, -1.138e-6, 2.280e+0
0.467, -6.280e-7, -1.150e-6, 2.300e+0
0.468, -6.232e-7, -1.163e-6, 2.320e+0
0.469, -6.341e-7, -1.175e-6, 2.340e+0
0.470, -6.317e-7, -1.188e-6, 2.360e+0
0.471, -6.328e-7, -1.201e-6, 2.380e+0
0.472, -6.364e-7, -1.213e-6, 2.400e+0
0.473, -6.207e-7, -1.226e-6, 2.420e+0
0.474, -6.318e-7, -1.239e-6, 2.440e+0
0.475, -6.489e-7, -1.251e-6, 2.460e+0
0.476, -6.546e-7, -1.265e-6, 2.480e+0
0.477, -6.457e-7, -1.277e-6, 2.500e+0
0.478, -6.366e-7, -1.290e-6, 2.520e+0
0.479, -6.471e-7, -1.303e-6, 2.540e+0
0.480, -6.576e-7, -1.316e-6, 2.560e+0
0.481, -6.701e-7, -1.330e-6, 2.580e+0
0.482, -6.555e-7, -1.343e-6, 2.600e+0
0.483, -6.466e-7, -1.356e-6, 2.620e+0
0.484, -6.642e-7, -1.369e-6, 2.640e+0
0.485, -6.721e-7, -1.382e-6, 2.660e+0
0.486, -6.819e-7, -1.396e-6, 2.680e+0
0.487, -6.624e-7, -1.409e-6, 2.700e+0
0.488, -6.644e-7, -1.423e-6, 2.720e+0
0.489, -6.743e-7, -1.436e-6, 2.740e+0
0.490, -6.748e-7, -1.450e-6, 2.760e+0
0.491, -6.888e-7, -1.463e-6, 2.780e+0
0.492, -6.813e-7, -1.477e-6, 2.800e+0
0.493, -6.733e-7, -1.491e-6, 2.820e+0
0.494, -6.902e-7, -1.504e-6, 2.840e+0
0.495, -6.875e-7, -1.518e-6, 2.860e+0
0.496, -6.987e-7, -1.532e-6, 2.880e+0
0.497, -6.959e-7, -1.546e-6, 2.900e+0
0.498, -6.790e-7, -1.560e-6, 2.920e+0
0.499, -6.919e-7, -1.573e-6, 2.940e+0
0.500, -7.017e-7, -1.587e-6, 2.960e+0
0.501, -7.179e-7, -1.602e-6, 2.980e+0
0.502, -7.050e-7, -1.616e-6, 3.000e+0
0.503, -6.921e-7, -1.630e-6, 3.020e+0
0.504, -7.137e-7, -1.644e-6, 3.040e+0
0.505, -7.208e-7, -1.658e-6, 3.060e+0
0.506, -7.228e-7, -1.673e-6, 3.080e+0
0.507, -7.284e-7, -1.687e-6, 3.100e+0
0.508, -7.045e-7, -1.702e-6, 3.120e+0
0.509, -7.274e-7, -1.716e-6, 3.140e+0
0.510, -7.400e-7, -1.731e-6, 3.160e+0
0.511, -7.354e-7, -1.746e-6, 3.180e+0
0.512, -7.497e-7, -1.761e-6, 3.200e+0
0.513, -7.339e-7, -1.775e-6, 3.220e+0
0.514, -7.452e-7, -1.790e-6, 3.240e+0
0.515, -7.446e-7, -1.805e-6, 3.260e+0
