Apr. 4, 2014   21:12:46
Multi-Potential Steps
File: z:\research\electrochemistry\04-04-2014\01mp\01mp 0.9v 3s -0.4v 2s, auqcm in 4.5g kno3.txt
Data Source:  Experiment
Instrument Model:  CHI760D
Header: 
Note: 

E1 (V) = 0.9
T1 (s) = 3
E2 (V) = -0.4
T2 (s) = 2
Cycle = 999
Sample Interval (s) = 0.5
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-5
Comp R (ohm) = 22.0

Time/sec, Current/A, Charge/C

5.000e-1, -1.767e-6, -8.835e-7
1.000e+0, -1.412e-6, -1.590e-6
1.500e+0, -1.210e-6, -2.195e-6
2.000e+0, -1.077e-6, -2.734e-6
2.500e+0, -9.791e-7, -3.223e-6
3.000e+0, -9.062e-7, -3.676e-6
3.500e+0, 2.516e-5, 8.904e-6
4.000e+0, 1.763e-5, 1.772e-5
4.500e+0, 1.541e-5, 2.542e-5
5.000e+0, 1.408e-5, 3.246e-5
5.500e+0, -9.160e-6, 2.788e-5
6.000e+0, -3.785e-6, 2.599e-5
6.500e+0, -2.668e-6, 2.466e-5
7.000e+0, -2.137e-6, 2.359e-5
7.500e+0, -1.819e-6, 2.268e-5
8.000e+0, -1.602e-6, 2.188e-5
8.500e+0, 2.221e-5, 3.298e-5
9.000e+0, 1.632e-5, 4.114e-5
9.500e+0, 1.437e-5, 4.833e-5
1.000e+1, 1.316e-5, 5.491e-5
1.050e+1, -8.922e-6, 5.045e-5
1.100e+1, -3.700e-6, 4.860e-5
1.150e+1, -2.648e-6, 4.727e-5
1.200e+1, -2.145e-6, 4.620e-5
1.250e+1, -1.842e-6, 4.528e-5
1.300e+1, -1.636e-6, 4.446e-5
1.350e+1, 2.175e-5, 5.534e-5
1.400e+1, 1.572e-5, 6.320e-5
1.450e+1, 1.378e-5, 7.009e-5
1.500e+1, 1.259e-5, 7.639e-5
1.550e+1, -8.961e-6, 7.190e-5
1.600e+1, -3.719e-6, 7.005e-5
1.650e+1, -2.682e-6, 6.870e-5
1.700e+1, -2.181e-6, 6.761e-5
1.750e+1, -1.879e-6, 6.667e-5
1.800e+1, -1.674e-6, 6.584e-5
1.850e+1, 2.170e-5, 7.669e-5
1.900e+1, 1.522e-5, 8.430e-5
1.950e+1, 1.320e-5, 9.090e-5
2.000e+1, 1.203e-5, 9.691e-5
2.050e+1, -9.191e-6, 9.232e-5
2.100e+1, -3.804e-6, 9.042e-5
2.150e+1, -2.745e-6, 8.904e-5
2.200e+1, -2.239e-6, 8.792e-5
2.250e+1, -1.936e-6, 8.696e-5
2.300e+1, -1.728e-6, 8.609e-5
2.350e+1, 2.160e-5, 9.689e-5
2.400e+1, 1.472e-5, 1.043e-4
2.450e+1, 1.267e-5, 1.106e-4
2.500e+1, 1.159e-5, 1.164e-4
2.550e+1, -9.544e-6, 1.116e-4
2.600e+1, -3.924e-6, 1.096e-4
2.650e+1, -2.832e-6, 1.082e-4
2.700e+1, -2.314e-6, 1.071e-4
2.750e+1, -2.001e-6, 1.061e-4
2.800e+1, -1.787e-6, 1.052e-4
2.850e+1, 2.138e-5, 1.159e-4
2.900e+1, 1.430e-5, 1.230e-4
2.950e+1, 1.231e-5, 1.292e-4
3.000e+1, 1.125e-5, 1.348e-4
3.050e+1, -9.971e-6, 1.298e-4
3.100e+1, -4.054e-6, 1.278e-4
3.150e+1, -2.925e-6, 1.263e-4
3.200e+1, -2.392e-6, 1.251e-4
3.250e+1, -2.069e-6, 1.241e-4
3.300e+1, -1.849e-6, 1.232e-4
3.350e+1, 2.114e-5, 1.337e-4
3.400e+1, 1.399e-5, 1.407e-4
3.450e+1, 1.203e-5, 1.468e-4
3.500e+1, 1.096e-5, 1.522e-4
3.550e+1, -1.043e-5, 1.470e-4
3.600e+1, -4.187e-6, 1.449e-4
3.650e+1, -3.019e-6, 1.434e-4
3.700e+1, -2.468e-6, 1.422e-4
3.750e+1, -2.135e-6, 1.411e-4
3.800e+1, -1.910e-6, 1.402e-4
3.850e+1, 2.093e-5, 1.506e-4
3.900e+1, 1.378e-5, 1.575e-4
3.950e+1, 1.179e-5, 1.634e-4
4.000e+1, 1.071e-5, 1.688e-4
4.050e+1, -1.090e-5, 1.633e-4
4.100e+1, -4.312e-6, 1.612e-4
4.150e+1, -3.108e-6, 1.596e-4
4.200e+1, -2.543e-6, 1.583e-4
4.250e+1, -2.200e-6, 1.572e-4
4.300e+1, -1.968e-6, 1.562e-4
4.350e+1, 2.075e-5, 1.666e-4
4.400e+1, 1.359e-5, 1.734e-4
4.450e+1, 1.160e-5, 1.792e-4
4.500e+1, 1.050e-5, 1.845e-4
4.550e+1, -1.137e-5, 1.788e-4
4.600e+1, -4.435e-6, 1.766e-4
4.650e+1, -3.192e-6, 1.750e-4
4.700e+1, -2.610e-6, 1.737e-4
4.750e+1, -2.259e-6, 1.725e-4
4.800e+1, -2.021e-6, 1.715e-4
4.850e+1, 2.062e-5, 1.818e-4
4.900e+1, 1.346e-5, 1.886e-4
4.950e+1, 1.144e-5, 1.943e-4
5.000e+1, 1.034e-5, 1.995e-4
5.050e+1, -1.183e-5, 1.935e-4
5.100e+1, -4.548e-6, 1.913e-4
5.150e+1, -3.272e-6, 1.896e-4
5.200e+1, -2.675e-6, 1.883e-4
5.250e+1, -2.315e-6, 1.871e-4
5.300e+1, -2.071e-6, 1.861e-4
5.350e+1, 2.053e-5, 1.964e-4
5.400e+1, 1.335e-5, 2.030e-4
5.450e+1, 1.132e-5, 2.087e-4
5.500e+1, 1.020e-5, 2.138e-4
5.550e+1, -1.227e-5, 2.077e-4
5.600e+1, -4.658e-6, 2.053e-4
5.650e+1, -3.343e-6, 2.037e-4
5.700e+1, -2.732e-6, 2.023e-4
5.750e+1, -2.365e-6, 2.011e-4
5.800e+1, -2.115e-6, 2.001e-4
5.850e+1, 2.049e-5, 2.103e-4
5.900e+1, 1.328e-5, 2.169e-4
5.950e+1, 1.122e-5, 2.225e-4
6.000e+1, 1.009e-5, 2.276e-4
6.050e+1, -1.267e-5, 2.213e-4
6.100e+1, -4.759e-6, 2.189e-4
6.150e+1, -3.407e-6, 2.172e-4
6.200e+1, -2.784e-6, 2.158e-4
6.250e+1, -2.411e-6, 2.146e-4
6.300e+1, -2.155e-6, 2.135e-4
6.350e+1, 2.046e-5, 2.237e-4
6.400e+1, 1.322e-5, 2.303e-4
6.450e+1, 1.113e-5, 2.359e-4
6.500e+1, 9.991e-6, 2.409e-4
6.550e+1, -1.305e-5, 2.344e-4
6.600e+1, -4.858e-6, 2.319e-4
6.650e+1, -3.468e-6, 2.302e-4
6.700e+1, -2.830e-6, 2.288e-4
6.750e+1, -2.452e-6, 2.276e-4
6.800e+1, -2.193e-6, 2.265e-4
6.850e+1, 2.047e-5, 2.367e-4
6.900e+1, 1.317e-5, 2.433e-4
6.950e+1, 1.106e-5, 2.488e-4
7.000e+1, 9.904e-6, 2.538e-4
7.050e+1, -1.340e-5, 2.471e-4
7.100e+1, -4.951e-6, 2.446e-4
7.150e+1, -3.527e-6, 2.428e-4
7.200e+1, -2.877e-6, 2.414e-4
7.250e+1, -2.489e-6, 2.402e-4
7.300e+1, -2.225e-6, 2.390e-4
7.350e+1, 2.049e-5, 2.493e-4
7.400e+1, 1.314e-5, 2.559e-4
7.450e+1, 1.100e-5, 2.614e-4
7.500e+1, 9.837e-6, 2.663e-4
7.550e+1, -1.372e-5, 2.594e-4
7.600e+1, -5.035e-6, 2.569e-4
7.650e+1, -3.576e-6, 2.551e-4
7.700e+1, -2.915e-6, 2.537e-4
7.750e+1, -2.521e-6, 2.524e-4
7.800e+1, -2.256e-6, 2.513e-4
7.850e+1, 2.054e-5, 2.615e-4
7.900e+1, 1.312e-5, 2.681e-4
7.950e+1, 1.095e-5, 2.736e-4
8.000e+1, 9.777e-6, 2.785e-4
8.050e+1, -1.401e-5, 2.715e-4
8.100e+1, -5.124e-6, 2.689e-4
8.150e+1, -3.626e-6, 2.671e-4
8.200e+1, -2.950e-6, 2.656e-4
8.250e+1, -2.551e-6, 2.643e-4
8.300e+1, -2.281e-6, 2.632e-4
8.350e+1, 2.060e-5, 2.735e-4
8.400e+1, 1.311e-5, 2.800e-4
8.450e+1, 1.092e-5, 2.855e-4
8.500e+1, 9.732e-6, 2.904e-4
8.550e+1, -1.429e-5, 2.832e-4
8.600e+1, -5.207e-6, 2.806e-4
8.650e+1, -3.670e-6, 2.788e-4
8.700e+1, -2.983e-6, 2.773e-4
8.750e+1, -2.579e-6, 2.760e-4
8.800e+1, -2.304e-6, 2.749e-4
8.850e+1, 2.068e-5, 2.852e-4
8.900e+1, 1.311e-5, 2.918e-4
8.950e+1, 1.089e-5, 2.972e-4
9.000e+1, 9.692e-6, 3.020e-4
9.050e+1, -1.457e-5, 2.948e-4
9.100e+1, -5.291e-6, 2.921e-4
9.150e+1, -3.714e-6, 2.903e-4
9.200e+1, -3.012e-6, 2.887e-4
9.250e+1, -2.602e-6, 2.874e-4
9.300e+1, -2.324e-6, 2.863e-4
9.350e+1, 2.077e-5, 2.967e-4
9.400e+1, 1.312e-5, 3.032e-4
9.450e+1, 1.087e-5, 3.087e-4
9.500e+1, 9.666e-6, 3.135e-4
9.550e+1, -1.482e-5, 3.061e-4
9.600e+1, -5.371e-6, 3.034e-4
9.650e+1, -3.754e-6, 3.015e-4
9.700e+1, -3.041e-6, 3.000e-4
9.750e+1, -2.624e-6, 2.987e-4
9.800e+1, -2.342e-6, 2.975e-4
9.850e+1, 2.088e-5, 3.080e-4
9.900e+1, 1.313e-5, 3.145e-4
9.950e+1, 1.087e-5, 3.200e-4
1.000e+2, 9.657e-6, 3.248e-4
1.005e+2, -1.509e-5, 3.172e-4
